Tool Name,Description,Tool Category,Abstract Name,Link to Abstract,Link to Post,Link to Tool,Contributor,Experience
Voyant,Voyant is a DH tool for textual analysis,Text analysis,"Remapping Leigh Hunt's Circles"": Voyant Tools and Hunt's Dramatic Criticism",https://dh-abstracts.library.virginia.edu/works/2621,https://github.com/yoonsuh3/dhuiuc/blob/main/DH-TOOL.md,https://voyant-tools.org/,yoonsuh3,None
Google Books,It makes searching books for specific lines of text easy.,Database,Negentropic linguistic evolution: A comparison of seven languages,https://dh-abstracts.library.virginia.edu/works/6286,https://github.com/Amoura23/DH-Class/blob/main/DH-Tool.md,https://books.google.com/,Amoura23,Yes
Palladio,Palladio is a network analysis and visualization to designed to graph relationships and geography as well as perform statistical calculations about the relationships.,Network analysis,Mapping the Republic of Letters project,http://republicofletters.stanford.edu/,https://github.com/rschneider98/is578-introduction-dh/blob/master/DH-Tool.md,http://hdlab.stanford.edu/palladio/about/,Richard Schneider,None
StoryMap.JS,The purpose of StoryMap is to highlight the locations of a series of events through mapping and descriptions.,Mapping,Southern Literary Trail,https://www.georgiahumanities.org/southern-literary-trail-story-map/,https://github.com/kfata2/is578-introduction-to-dh/blob/main/DHTool.md,https://storymap.knightlab.com/,kfata2,None
TEI,"It provides a standardized and structured approach to encoding textual data, enabling researchers to digitally work with, analyze, and preserve textual materials.",Text encoding,Early Modern Songscapes,https://mith.umd.edu/research/early-modern-soundscapes/,https://github.com/aali32991/DH-Tool.md,https://tei-c.org/,aali32991,None
Twitter,"Search for opinions and discussions about authors, books, and other literary topics",Microblogging,"Project Twitter Literature: Scraping, Analyzing, and Archiving Twitter Data in Literary Research",https://dh-abstracts.library.virginia.edu/works/9425,https://github.com/ap0110ck/DH-Tool.md/blob/main/README.md,https://twitter.com/,ap0110ck,Some
Python,Python can be used for multiple purposes,Progamming,A code for Murakami’s Tokyo: spatial diversity analyzed by digital means,https://dh-abstracts.library.virginia.edu/works/11841,https://github.com/inyoung-j/is578-intro-dh/blob/main/DH-Tool.md,https://www.python.org/,inyoung-j,Some
Srophé App,The Srophé App is an open-source database for digital humanities research,Database,Architectura Sinica and Collaborative Digital Database Development,https://dh-abstracts.library.virginia.edu/works/11970,https://github.com/inyoung-j/is578-intro-dh/blob/main/DH-Tool.md,https://srophe.app/,inyoung-j,Some
Wordpress,"This digital tool can assist humanists in organizing work around publishing, media collections, and hosting discussion forums",Web content management,"WordPress as a framework for automated data capture, filtering and structuring processes. The new order of the authors",https://dh-abstracts.library.virginia.edu/works/2822,https://github.com/pptorchia/is578-introduction-to-dh/blob/main/DH-Tool.md,https://wordpress.com/home/tenweeks716798793.wordpress.com,pptorchia,NULL
Scalar,It is a software for publishing and linking multimedia scholarship on digital platforms,Web authoring tool,Access to DH Pedagogy as the Norm: Introducing Students to DH Methods Across the Curriculum and at a Distance,https://dh-abstracts.library.virginia.edu/works/3879,https://github.com/eewatkins/is578-introdh/blob/5c47f591945dd5f63e6f0b8db1a82158455a326e/DH-Tool.md,http://scalar.usc.edu/scalar,eewatkins,None
Drupal ,"Drupal is a CMS that is designed for intregated digital frameworks and can be expanded, themed, and customized.",Web content management,"Bibliopedia, Linked Open Data, and the Web of Scholarly Citations",https://dh-abstracts.library.virginia.edu/works/1610,https://github.com/isabellescheng/dev/blob/patch-1/DH-Tool.md,https://www.drupal.org/,isabellescheng,None
Gephi,Network analysis,Network analysis,Preliminaries: The Social Networks of Literary Production in the Spanish Empire During the Administration of the Duke of Lerma (1598-1618),https://dh-abstracts.library.virginia.edu/works/1762,https://github.com/rubylm2/is578-introduction-to-dh/blob/main/DH-Tool.md,https://gephi.org/,rubylm2,None
Voyant,It is a web-based platform that allows the user to read and analyze digital texts,Text analysis,"Web Services for Voyant: LINCS, Voyant and NSSI: LINCS, Voyant and NSSI",https://dh-abstracts.library.virginia.edu/works/11736,https://github.com/RebeccaThurber/is578-introduction-to-dh/blob/main/DH-Tool.md,https://voyant-tools.org/,RebeccaThurber,None
Scholarly 3D Toolkit,"This tool can help modulate details about events and monuments into 3D environments by adding metadata, which I found really interesting.",3D modeling ,"The Scholarly 3D Toolkit: Annotation, Publication, and Analysis of 3D Scenes alongside Imported Humanities Data",https://dh-abstracts.library.virginia.edu/works/2111,https://github.com/SK-143381/is578-intro-to-dh/blob/main/DH-Tool.md,NULL,SK-143381,None
Neatline,This tool helps visualize stories happening in texts in representations on media such as maps and photogrpahs. ,Data visualization,Enduring Traces: Exploring correspondence from the archives of Canadian modernism using digital tools and methods,https://dh-abstracts.library.virginia.edu/works/1932,https://github.com/SK-143381/is578-intro-to-dh/blob/main/DH-Tool.md,https://neatline.org/,SK-143381,None
